Data,Estimativa_m3
2025-07-02,961.6
2025-07-03,1147.8000000000002
2025-07-04,1174.0
2025-07-05,1174.0
2025-07-06,1057.2
2025-07-07,1228.4
2025-07-08,1217.4
2025-07-09,1222.2
2025-07-10,1223.6
2025-07-11,1215.8
2025-07-12,1283.8
2025-07-13,1137.8000000000002
2025-07-14,1288.8000000000002
2025-07-15,1243.4
2025-07-16,1142.6
2025-07-17,1046.4
2025-07-18,981.2
2025-07-19,1026.2
2025-07-20,989.0
2025-07-21,976.8
2025-07-22,1082.4
2025-07-23,1119.8000000000002
2025-07-24,1026.6
2025-07-25,1045.2
2025-07-26,952.0
2025-07-27,672.8000000000001
2025-07-28,758.5999999999999
2025-07-29,908.8000000000001
2025-07-30,981.8000000000001
2025-07-31,961.6
2025-08-01,1034.6000000000001
2025-08-02,979.6000000000001
2025-08-03,961.0
2025-08-04,844.8000000000001
2025-08-05,1061.0
2025-08-06,1088.8000000000002
2025-08-07,1018.8000000000001
2025-08-08,969.2
2025-08-09,1015.8
2025-08-10,924.0
2025-08-11,787.4000000000001
2025-08-12,876.2
2025-08-13,882.4000000000001
2025-08-14,933.8000000000001
2025-08-15,927.6
2025-08-16,795.6
2025-08-17,720.8
2025-08-18,845.2
2025-08-19,1149.0
2025-08-20,1087.0
2025-08-21,1229.6
2025-08-22,1205.0
2025-08-23,1222.0
2025-08-24,1018.4
2025-08-25,1484.0
2025-08-26,1098.0
2025-08-27,1171.0
2025-08-28,1155.4
2025-08-29,1251.6000000000001
2025-08-30,0.0
2025-08-31,0.0
2025-09-01,1082.4
2025-09-02,1039.0
2025-09-03,933.6
2025-09-04,877.8000000000001
2025-09-05,853.0
2025-09-06,989.4
2025-09-07,882.0
2025-09-08,1039.0
2025-09-09,969.2
2025-09-10,980.2
2025-09-11,1062.2
2025-09-12,1074.8
2025-09-13,956.8000000000001
2025-09-14,830.8000000000001
2025-09-15,1020.4000000000001
