ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Dias_Resfriando_Consecutivos,Alerta_Resfriamento,Mudou,Bloco,Status_Anterior,Carregou,Descarregou
e876c21a,24,Descarregado,2025-06-26,UPC-Mata Verde,Descarregado,0,,0,,True,1,,False,False
4972ccd1,24,Descarregado,2025-06-27,UPC-Mata Verde,Vazio,1,,0,,True,2,Descarregado,False,False
898e6bc9,24,Carbonizando,2025-06-28,UPC-Mata Verde,Carbonizando,0,,0,,True,3,Vazio,True,False
b4ffefe1,24,Carbonizando,2025-06-29,UPC-Mata Verde,Carbonizando,0,,0,,False,3,Carbonizando,False,False
72b1b184,24,Carbonizando,2025-06-30,UPC-Mata Verde,Carbonizando,0,,0,,False,3,Carbonizando,False,False
d1504412,24,Carbonizando,2025-07-01,UPC-Mata Verde,Carbonizando,0,,0,,False,3,Carbonizando,False,False
c7b7c7a1,24,Resfriando,2025-07-02,UPC-Mata Verde,Resfriando,0,,1,,True,4,Carbonizando,False,False
10028816,24,Resfriando,2025-07-03,UPC-Mata Verde,Resfriando,0,,2,,False,4,Resfriando,False,False
19d466c7,24,Resfriando,2025-07-04,UPC-Mata Verde,Resfriando,0,,3,Forno resfriando há 3 dias consecutivos!,False,4,Resfriando,False,False
f5dfdf63,24,Resfriando,2025-07-05,UPC-Mata Verde,Resfriando,0,,4,Forno resfriando há 4 dias consecutivos!,False,4,Resfriando,False,False
496d261d,24,Resfriando,2025-07-06,UPC-Mata Verde,Resfriando,0,,5,Forno resfriando há 5 dias consecutivos!,False,4,Resfriando,False,False
49deb4f6,24,Descarregado,2025-07-07,UPC-Mata Verde,Descarregado,0,,0,,True,5,Resfriando,False,True
4facd70b,24,Resfriando,2025-07-08,UPC-Mata Verde,Resfriando,0,,1,,True,6,Descarregado,False,False
1f3876bc,24,Resfriando,2025-07-09,UPC-Mata Verde,Resfriando,0,,2,,False,6,Resfriando,False,False
a667de14,24,Resfriando,2025-07-10,UPC-Mata Verde,Resfriando,0,,3,Forno resfriando há 3 dias consecutivos!,False,6,Resfriando,False,False
9140ecb7,24,Resfriando,2025-07-11,UPC-Mata Verde,Resfriando,0,,4,Forno resfriando há 4 dias consecutivos!,False,6,Resfriando,False,False
836f3310,24,Resfriando,2025-07-12,UPC-Mata Verde,Resfriando,0,,5,Forno resfriando há 5 dias consecutivos!,False,6,Resfriando,False,False
6f32cffb,24,Resfriando,2025-07-13,UPC-Mata Verde,Resfriando,0,,6,Forno resfriando há 6 dias consecutivos!,False,6,Resfriando,False,False
ca705202,24,Resfriando,2025-07-14,UPC-Mata Verde,Resfriando,0,,7,Forno resfriando há 7 dias consecutivos!,False,6,Resfriando,False,False
e2d0c89d,24,Vazio,2025-07-15,UPC-Mata Verde,Vazio,1,,0,,True,7,Resfriando,False,True
1ed85af1,24,Carbonizando,2025-07-16,UPC-Mata Verde,Carbonizando,0,,0,,True,8,Vazio,True,False
4f0c3deb,24,Resfriando,2025-07-17,UPC-Mata Verde,Resfriando,0,,1,,True,9,Carbonizando,False,False
fc2482a1,24,Resfriando,2025-07-18,UPC-Mata Verde,Resfriando,0,,2,,False,9,Resfriando,False,False
b06275b4,24,Resfriando,2025-07-19,UPC-Mata Verde,Resfriando,0,,3,Forno resfriando há 3 dias consecutivos!,False,9,Resfriando,False,False
aa02211a,24,Resfriando,2025-07-20,UPC-Mata Verde,Resfriando,0,,4,Forno resfriando há 4 dias consecutivos!,False,9,Resfriando,False,False
a0530255,24,Resfriando,2025-07-21,UPC-Mata Verde,Resfriando,0,,5,Forno resfriando há 5 dias consecutivos!,False,9,Resfriando,False,False
31e3dec8,24,Resfriando,2025-07-22,UPC-Mata Verde,Resfriando,0,,6,Forno resfriando há 6 dias consecutivos!,False,9,Resfriando,False,False
63cce7ca,24,Resfriando,2025-07-23,UPC-Mata Verde,Resfriando,0,,7,Forno resfriando há 7 dias consecutivos!,False,9,Resfriando,False,False
