ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Mudou,Bloco,Status_Anterior,Carregou,Descarregou
e876c21a,03,Resfriando,2025-06-26,UPC-Mata Verde,Resfriando,0,,True,1,,False,False
4972ccd1,03,Resfriando,2025-06-27,UPC-Mata Verde,Resfriando,0,,False,1,Resfriando,False,False
898e6bc9,03,Descarregado,2025-06-28,UPC-Mata Verde,Descarregado,0,,True,2,Resfriando,False,True
b4ffefe1,03,Descarregado,2025-06-29,UPC-Mata Verde,Vazio,1,,True,3,Descarregado,False,False
72b1b184,03,Descarregado,2025-06-30,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,False,3,Vazio,False,False
d1504412,03,Vazio,2025-07-01,UPC-Mata Verde,Vazio,3,Forno vazio há 3 dias consecutivos!,False,3,Vazio,False,False
c7b7c7a1,03,Vazio,2025-07-02,UPC-Mata Verde,Vazio,4,Forno vazio há 4 dias consecutivos!,False,3,Vazio,False,False
10028816,03,Vazio,2025-07-03,UPC-Mata Verde,Vazio,5,Forno vazio há 5 dias consecutivos!,False,3,Vazio,False,False
19d466c7,03,Carbonizando,2025-07-04,UPC-Mata Verde,Carbonizando,0,,True,4,Vazio,True,False
f5dfdf63,03,Carbonizando,2025-07-05,UPC-Mata Verde,Carbonizando,0,,False,4,Carbonizando,False,False
496d261d,03,Carbonizando,2025-07-06,UPC-Mata Verde,Carbonizando,0,,False,4,Carbonizando,False,False
49deb4f6,03,Carbonizando,2025-07-07,UPC-Mata Verde,Carbonizando,0,,False,4,Carbonizando,False,False
4facd70b,03,Carbonizando,2025-07-08,UPC-Mata Verde,Carbonizando,0,,False,4,Carbonizando,False,False
1f3876bc,03,Carbonizando,2025-07-09,UPC-Mata Verde,Carbonizando,0,,False,4,Carbonizando,False,False
a667de14,03,Resfriando,2025-07-10,UPC-Mata Verde,Resfriando,0,,True,5,Carbonizando,False,False
9140ecb7,03,Resfriando,2025-07-11,UPC-Mata Verde,Resfriando,0,,False,5,Resfriando,False,False
836f3310,03,Descarregado,2025-07-12,UPC-Mata Verde,Descarregado,0,,True,6,Resfriando,False,True
6f32cffb,03,Descarregado,2025-07-13,UPC-Mata Verde,Vazio,1,,True,7,Descarregado,False,False
ca705202,03,Vazio,2025-07-14,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,False,7,Vazio,False,False
e2d0c89d,03,Carbonizando,2025-07-15,UPC-Mata Verde,Carbonizando,0,,True,8,Vazio,True,False
1ed85af1,03,Carbonizando,2025-07-16,UPC-Mata Verde,Carbonizando,0,,False,8,Carbonizando,False,False
4f0c3deb,03,Carbonizando,2025-07-17,UPC-Mata Verde,Carbonizando,0,,False,8,Carbonizando,False,False
fc2482a1,03,Carbonizando,2025-07-18,UPC-Mata Verde,Carbonizando,0,,False,8,Carbonizando,False,False
b06275b4,03,Carbonizando,2025-07-19,UPC-Mata Verde,Carbonizando,0,,False,8,Carbonizando,False,False
aa02211a,03,Resfriando,2025-07-20,UPC-Mata Verde,Resfriando,0,,True,9,Carbonizando,False,False
a0530255,03,Resfriando,2025-07-21,UPC-Mata Verde,Resfriando,0,,False,9,Resfriando,False,False
31e3dec8,03,Resfriando,2025-07-22,UPC-Mata Verde,Resfriando,0,,False,9,Resfriando,False,False
63cce7ca,03,Resfriando,2025-07-23,UPC-Mata Verde,Resfriando,0,,False,9,Resfriando,False,False
9a238d8a,03,Resfriando,2025-07-24,UPC-Mata Verde,Resfriando,0,,False,9,Resfriando,False,False
72ddcec5,03,Resfriando,2025-07-25,UPC-Mata Verde,Resfriando,0,,False,9,Resfriando,False,False
3a1af6c3,03,Resfriando,2025-07-26,UPC-Mata Verde,Resfriando,0,,False,9,Resfriando,False,False
c5982aac,03,Resfriando,2025-07-27,UPC-Mata Verde,Resfriando,0,,False,9,Resfriando,False,False
9d4f136d,03,Resfriando,2025-07-28,UPC-Mata Verde,Resfriando,0,,False,9,Resfriando,False,False
ca91db1e,03,Descarregado,2025-07-29,UPC-Mata Verde,Descarregado,0,,True,10,Resfriando,False,True
ddf01aa5,03,Vazio,2025-07-30,UPC-Mata Verde,Vazio,1,,True,11,Descarregado,False,False
