ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Mudou,Bloco
e876c21a,17,Resfriando,2025-06-26,UPC-Mata Verde,Resfriando,0,,True,1
4972ccd1,17,Descarregado,2025-06-27,UPC-Mata Verde,Descarregado,0,,True,2
898e6bc9,17,Descarregado,2025-06-28,UPC-Mata Verde,Vazio,1,,True,3
b4ffefe1,17,Carregado,2025-06-29,UPC-Mata Verde,Carregado,0,,True,4
72b1b184,17,Carregado,2025-06-30,UPC-Mata Verde,Carregado,0,,False,4
d1504412,17,Carbonizando,2025-07-01,UPC-Mata Verde,Carbonizando,0,,True,5
c7b7c7a1,17,Carbonizando,2025-07-02,UPC-Mata Verde,Carbonizando,0,,False,5
10028816,17,Carbonizando,2025-07-03,UPC-Mata Verde,Carbonizando,0,,False,5
19d466c7,17,Carbonizando,2025-07-04,UPC-Mata Verde,Carbonizando,0,,False,5
f5dfdf63,17,Carbonizando,2025-07-05,UPC-Mata Verde,Carbonizando,0,,False,5
496d261d,17,Carbonizando,2025-07-06,UPC-Mata Verde,Carbonizando,0,,False,5
49deb4f6,17,Resfriando,2025-07-07,UPC-Mata Verde,Resfriando,0,,True,6
